Наименование;Цена
Aruba;
Aruba instant On AP 11 Access Point;95
Baseus;
Бейсус A00079500113-00 Bass 15 Clip Open-Ear True Wireless Earphones Cluster Black;15
Бейсус A20067900117-00 AeQur VO20 Portable Wireless Speaker;30
Бейсус B0005280B811-10 UltraJoy Series 4-Port  HUB Lite 15cm Space Grey?USB-A to USB 3.0*4+USB-C 5V?;8
Бейсус C00081100121-00 BackseatPal L1 In-vehicle Car Charger 3U+3C 110W Cosmic Black;15
Бейсус CAHUB-DG0G  Working Station Three-Screen Multifunctional Type-C HUB AdapterDark gray;90
Бейсус P10377706213-00 Silky One-for-Three Fast Charging Cable USB-C to M+L+C 100W 1.5m;8
Бейсус WKQX000301 Lite Series Ethernet Adapter Type-C to RJ45 LAN Port (1000Mbps) Black;10
Бейсус WKWG070013 Metal Gleam Series 4-in-1 Multifunctional Type-C HUB Docking Station Gray?Type-C t;12
Бейсус A00050800211-00 AeQur GH02 Gaming Wireless Headphones Moon White;48
Бейсус P1011160A113-01 Palm Fast Charger C+U 30W EU Cluster Black;13
Бейсус WKCD010013 Orange Dot Wireless Presenter (Green Laser)(Charging) Grey;18
D-Link;
D Link NAS QNAP TS-231К;330
D Link QNAP TS-251D -2G;420
D Link Медиаконвертор 10/100  Прастой;15
D Link Медиаконвертор 10/100/1000   Гигабайт;19
D Link Сетевая карта D Link 100-1000  DGE-560 T;16
D Link NAS QNAP TS-453D-4G;590
D Link NAS QNAP TS-653D-4G;705
DVD RW Приводы;
External USB DVD/RW  drive;20
Бокс НДД   WD Seagate Toshiba;5
DVD Планка барои SSD;3
ДВД;8
TP-Link  Wireless Routeri;
TP-LINK Wi-Fi адаптер TL WN 881ND;12
Роутер TP-LINK Archer C9;100
TP-LINK Archer T1U   AC450 Wireless Nano USB Adapter;10
TP-LINK Bluetooth+Wi-Fi адаптер Archer TX55E;32
CPE210  2.4GHz 300Mbps 9dBi Outdoor CPE;30
CPE510  5GHz 300Mbps 13dBi Outdoor CPE;50
Netis WF-2301 150Mbps Wireless N Outdoor Access Point;30
SANDISK 16GB Wireless Flash Drive;20
TL-SM321A  1000Base-BX WDM Bi-Directional SFP Module;33
TL-SM321B  1000Base-BX WDM Bi-Directional SFP Module;20
TP-LINK TG-3468 Gigabit PCI Express Network Adapter;10
Роутер TP-Link Archer AX53 AX3000;52
Роутер TP-LINK Deco M4 ( 3Pack )AC1200 Gigabit Whole Home Mesh Wi-Fi System;100
Роутер TP-LINK MR100 Наружный;50
TP-LINK RE450 усилитель Wi-Fi сигнала;49
TP-LINK RE605X усилитель Wi-Fi сигнала;55
TP-LINK RE700X усилитель Wi-Fi сигнала;70
Роутер TP-LINK, Archer, C20,;20
WF2150 N600 Wireless Dual Band USB Adapter;14
XPON Dual Band ONU WL 8421-B;25
Роутер TP-LINK Archer C86;38
Роутер TP-Link TL-MR105;32
